from_agent,to_agent,operation,allowed,purpose
Manager,Strategist,inspect-health,true,Monitor context/lifecycle health for proactive continuity
Manager,Judge,inspect-health,true,Monitor context/lifecycle health for proactive continuity
Manager,Designer Reviewer,inspect-health,true,Monitor context/lifecycle health for proactive continuity
Manager,Coder,inspect-health,true,Monitor context/lifecycle health for proactive continuity
Manager,Manager,inspect-health,true,Monitor own context/lifecycle health
Manager,Command Runner,inspect-health,true,Monitor context/lifecycle health for proactive continuity
Manager,UI Acceptance Tester,inspect-health,true,Monitor context/lifecycle health for proactive continuity
Manager,Strategist,clone,true,Authorized automatic workflow lifecycle replacement
Manager,Judge,clone,true,Authorized lifecycle control signal; does not grant ordinary conversation
Manager,Designer Reviewer,clone,true,Authorized automatic workflow lifecycle replacement
Manager,Coder,clone,true,Authorized automatic workflow lifecycle replacement
Manager,Manager,clone,true,Manager may initiate its own replacement
Manager,Command Runner,clone,true,Authorized automatic workflow lifecycle replacement
Manager,UI Acceptance Tester,clone,true,Authorized automatic workflow lifecycle replacement
Coder,Judge,clone,false,Coder has no lifecycle authority over Judge
Designer Reviewer,Judge,clone,false,Designer Reviewer has no lifecycle authority over Judge
Strategist,Judge,clone,false,Strategist has no lifecycle authority over Judge
Command Runner,Judge,clone,false,Command Runner has no lifecycle authority over Judge
UI Acceptance Tester,Judge,clone,false,UI Acceptance Tester has no lifecycle authority over Judge
Judge,Manager,clone,false,Judge validates governance but does not own staffing
Judge,Coder,clone,false,Judge validates governance but does not own staffing
Admin,Strategist,clone,true,Admin lifecycle/recovery authority when Human-controlled Admin is present
Admin,Judge,clone,true,Admin lifecycle control is allowed when authorized; not ordinary governance conversation
Admin,Designer Reviewer,clone,true,Admin lifecycle/recovery authority when Human-controlled Admin is present
Admin,Coder,clone,true,Admin lifecycle/recovery authority when Human-controlled Admin is present
Admin,Manager,clone,true,Admin lifecycle/recovery authority when Human-controlled Admin is present
Admin,Command Runner,clone,true,Admin lifecycle/recovery authority when Human-controlled Admin is present
Admin,UI Acceptance Tester,clone,true,Admin lifecycle/recovery authority when Human-controlled Admin is present
Manager,Admin,inspect-health,false,Admin is outside Manager lifecycle authority
Manager,Admin,clone,false,Admin is outside Manager lifecycle authority
